set	activity	metric	direction	mean	std
test	SITTING	fBodyAccJerk	X	-0.983854947474542	-0.984772635397149
test	SITTING	fBodyAccJerk	Y	-0.971843441731161	-0.974082505132383
test	SITTING	fBodyAccJerk	Z	-0.978797028004073	-0.98325268293279
test	SITTING	fBodyAccMag		-0.951721972551935	-0.94208825496945
test	SITTING	fBodyBodyAccJerkMag		-0.977173862342159	-0.976917733543788
test	SITTING	fBodyBodyGyroJerkMag		-0.984435176130346	-0.98400311509165
test	SITTING	fBodyBodyGyroMag		-0.964803846456212	-0.95254545598778
test	SITTING	fBodyGyro	X	-0.975674870224033	-0.981948078452138
test	SITTING	fBodyGyro	Y	-0.973174330101833	-0.965280836802444
test	SITTING	fBodyGyro	Z	-0.959785362179226	-0.958576115132383
test	SITTING	tBodyAcc	X	0.272039760352342	-0.983437472749491
test	SITTING	tBodyAcc	Y	-0.0141221515132994	-0.9314033418778
test	SITTING	tBodyAcc	Z	-0.102730909698778	-0.938215184142566
test	SITTING	tBodyAccJerk	X	0.076153849587169	-0.983563065824847
test	SITTING	tBodyAccJerk	Y	0.00523557345498982	-0.971875152668024
test	SITTING	tBodyAccJerk	Z	-0.00410731471661263	-0.981694772077393
test	SITTING	tBodyAccJerkMag		-0.981076791425662	-0.977510406741344
test	SITTING	tBodyAccMag		-0.953534394704684	-0.9392153100611
test	SITTING	tBodyGyro	X	-0.0400046946661914	-0.980391992382892
test	SITTING	tBodyGyro	Y	-0.0703346296040733	-0.967761899022403
test	SITTING	tBodyGyro	Z	0.0759514418063747	-0.955691205600815
test	SITTING	tBodyGyroJerk	X	-0.0948832319185336	-0.983401234236253
test	SITTING	tBodyGyroJerk	Y	-0.0412598892004073	-0.986105054114053
test	SITTING	tBodyGyroJerk	Z	-0.0493232638925051	-0.982864892851324
test	SITTING	tBodyGyroJerkMag		-0.986915690997963	-0.983877373299389
test	SITTING	tBodyGyroMag		-0.944897951527495	-0.952093296334012
test	SITTING	tGravityAcc	X	0.9028616299389	-0.981298906069246
test	SITTING	tGravityAcc	Y	0.071857995734034	-0.957728709456212
test	SITTING	tGravityAcc	Z	0.131904738775356	-0.947828792947047
test	SITTING	tGravityAccMag		-0.953534394704684	-0.9392153100611
test	LAYING	fBodyAcc	X	-0.968327808193668	-0.963547345810056
test	LAYING	fBodyAcc	Y	-0.962864108901304	-0.959297968620112
test	LAYING	fBodyAcc	Z	-0.969993645065177	-0.964355421625698
test	LAYING	fBodyAccJerk	X	-0.980219864897579	-0.982173560986965
test	LAYING	fBodyAccJerk	Y	-0.972664254394786	-0.973895600260708
test	LAYING	fBodyAccJerk	Z	-0.977401070260708	-0.980879842532588
test	LAYING	fBodyAccMag		-0.957424189783985	-0.953138504479888
test	LAYING	fBodyBodyAccJerkMag		-0.974611609068901	-0.973586610782123
test	LAYING	fBodyBodyGyroJerkMag		-0.976359034581006	-0.975401442439479
test	LAYING	fBodyBodyGyroMag		-0.957813942756052	-0.95021154301676
test	LAYING	fBodyGyro	X	-0.969382140558659	-0.976403305605214
test	LAYING	fBodyGyro	Y	-0.966120752178771	-0.961109421824953
test	LAYING	fBodyGyro	Z	-0.968285986927374	-0.972050234487896
test	LAYING	tBodyAcc	X	0.267227589560521	-0.964750344692737
test	LAYING	tBodyAcc	Y	-0.0182456228329236	-0.958961259925512
test	LAYING	tBodyAcc	Z	-0.108134996675233	-0.964927132290503
test	LAYING	tBodyAccJerk	X	0.0825682671290503	-0.980256750707635
test	LAYING	tBodyAccJerk	Y	0.0107112016761881	-0.972278279683426
test	LAYING	tBodyAccJerk	Z	-0.00364736361863873	-0.979848204692737
test	LAYING	tBodyAccJerkMag		-0.979577853575419	-0.974610375400372
test	LAYING	tBodyAccMag		-0.961578850614525	-0.949805818519553
test	LAYING	tBodyGyro	X	-0.0166314081294004	-0.974575194841713
test	LAYING	tBodyGyro	Y	-0.0979956312043575	-0.962547564208566
test	LAYING	tBodyGyro	Z	0.122576525847486	-0.968943417318436
test	LAYING	tBodyGyroJerk	X	-0.101457328947858	-0.977778340986965
test	LAYING	tBodyGyroJerk	Y	-0.03801389731527	-0.977947653873371
test	LAYING	tBodyGyroJerk	Z	-0.0634655948080075	-0.985304182718808
test	LAYING	tBodyGyroJerkMag		-0.981573659888268	-0.975261643500931
test	LAYING	tBodyGyroMag		-0.945435104413408	-0.94755611895717
test	LAYING	tGravityAcc	X	-0.385937754614525	-0.947827229962756
test	LAYING	tGravityAcc	Y	0.594350912979516	-0.979253784934823
test	LAYING	tGravityAcc	Z	0.503317463620112	-0.973531121975791
test	LAYING	tGravityAccMag		-0.961578850614525	-0.949805818519553
test	WALKING	fBodyAcc	X	-0.294540792568548	-0.331205812727218
test	WALKING	fBodyAcc	Y	-0.0479779302057258	-0.0866828255034476
test	WALKING	fBodyAcc	Z	-0.3951612810625	-0.366538572371935
test	WALKING	fBodyAccJerk	X	-0.286425196154032	-0.242420560580565
test	WALKING	fBodyAccJerk	Y	-0.163611924388669	-0.0888750052252419
test	WALKING	fBodyAccJerk	Z	-0.492933167243952	-0.549313653548387
test	WALKING	fBodyAccMag		-0.277965865165121	-0.505450664375
test	WALKING	fBodyBodyAccJerkMag		-0.200266603682944	-0.201670204510645
test	WALKING	fBodyBodyGyroJerkMag		-0.53629723682746	-0.546820470782661
test	WALKING	fBodyBodyGyroMag		-0.448021014490363	-0.52913161384879
test	WALKING	fBodyGyro	X	-0.362109013486694	-0.533422340395161
test	WALKING	fBodyGyro	Y	-0.425951988348931	-0.396217017188105
test	WALKING	fBodyGyro	Z	-0.338214254380242	-0.455425174120968
test	WALKING	tBodyAcc	X	0.276526397258064	-0.319595856634677
test	WALKING	tBodyAcc	Y	-0.018250712002498	-0.031767626453629
test	WALKING	tBodyAcc	Z	-0.108875750766129	-0.342244602873911
test	WALKING	tBodyAccJerk	X	0.0731737339316129	-0.230634921260282
test	WALKING	tBodyAccJerk	Y	0.00998238899389113	-0.0986195505663911
test	WALKING	tBodyAccJerk	Z	0.00123049294354839	-0.521739457217742
test	WALKING	tBodyAccJerkMag		-0.237173351544978	-0.198067072712843
test	WALKING	tBodyAccMag		-0.185612933587746	-0.355577474335887
test	WALKING	tBodyGyro	X	-0.0433151675165726	-0.49123325066129
test	WALKING	tBodyGyro	Y	-0.0647420858230101	-0.40313354348629
test	WALKING	tBodyGyro	Z	0.0917220728034476	-0.382048326903226
test	WALKING	tBodyGyroJerk	X	-0.0878835560618952	-0.413270422316532
test	WALKING	tBodyGyroJerk	Y	-0.0452121990068548	-0.536563346574597
test	WALKING	tBodyGyroJerk	Z	-0.0579666753374798	-0.463647341954839
test	WALKING	tBodyGyroJerkMag		-0.486469326477823	-0.525913731689919
test	WALKING	tBodyGyroMag		-0.318522629716532	-0.436169354776008
test	WALKING	tGravityAcc	X	0.939130584415323	-0.977866512903226
test	WALKING	tGravityAcc	Y	-0.189780957912097	-0.967576257318548
test	WALKING	tGravityAcc	Z	-0.0264384787160887	-0.959918772116935
test	WALKING	tGravityAccMag		-0.185612933587746	-0.355577474335887
test	WALKING_DOWNSTAIRS	fBodyAcc	X	-0.0494806268985714	0.0282587765922857
test	WALKING_DOWNSTAIRS	fBodyAcc	Y	0.0165795902297619	-0.0548990607438095
test	WALKING_DOWNSTAIRS	fBodyAcc	Z	-0.262449728171024	-0.296229623796381
test	WALKING_DOWNSTAIRS	fBodyAccJerk	X	-0.130190510361712	-0.139219708816221
test	WALKING_DOWNSTAIRS	fBodyAccJerk	Y	-0.141035351083571	-0.120492087281667
test	WALKING_DOWNSTAIRS	fBodyAccJerk	Z	-0.376826510175	-0.470596619978571
test	WALKING_DOWNSTAIRS	fBodyAccMag		0.0766089178870952	-0.130476071203333
test	WALKING_DOWNSTAIRS	fBodyBodyAccJerkMag		-0.0487443964492857	-0.0504212059297857
test	WALKING_DOWNSTAIRS	fBodyBodyGyroJerkMag		-0.472266338783095	-0.494187116095476
test	WALKING_DOWNSTAIRS	fBodyBodyGyroMag		-0.344731299676667	-0.407172196497619
test	WALKING_DOWNSTAIRS	fBodyGyro	X	-0.255811666394548	-0.414798335411905
test	WALKING_DOWNSTAIRS	fBodyGyro	Y	-0.389901050633571	-0.442949501905
test	WALKING_DOWNSTAIRS	fBodyGyro	Z	-0.195446042195476	-0.404459674067143
test	WALKING_DOWNSTAIRS	tBodyAcc	X	0.288062900461905	0.00902022030214286
test	WALKING_DOWNSTAIRS	tBodyAcc	Y	-0.0161751510247702	0.0134523978078571
test	WALKING_DOWNSTAIRS	tBodyAcc	Z	-0.105529914174286	-0.243477099060119
test	WALKING_DOWNSTAIRS	tBodyAccJerk	X	0.0916206223598452	-0.0941815286700238
test	WALKING_DOWNSTAIRS	tBodyAccJerk	Y	-0.00322121589102381	-0.101380895052357
test	WALKING_DOWNSTAIRS	tBodyAccJerk	Z	-0.00838420495773809	-0.424200745914286
test	WALKING_DOWNSTAIRS	tBodyAccJerkMag		-0.163692387624738	-0.0450688652907857
test	WALKING_DOWNSTAIRS	tBodyAccMag		0.0164621317664286	0.0504083176412857
test	WALKING_DOWNSTAIRS	tBodyGyro	X	-0.101341612095476	-0.373429876892857
test	WALKING_DOWNSTAIRS	tBodyGyro	Y	-0.0461447231649762	-0.418157975061905
test	WALKING_DOWNSTAIRS	tBodyGyro	Z	0.0964457295442619	-0.299487958953952
test	WALKING_DOWNSTAIRS	tBodyGyroJerk	X	-0.0695720976611905	-0.403089544085476
test	WALKING_DOWNSTAIRS	tBodyGyroJerk	Y	-0.0496904002757143	-0.515669184902381
test	WALKING_DOWNSTAIRS	tBodyGyroJerk	Z	-0.0588719525257143	-0.344353104702143
test	WALKING_DOWNSTAIRS	tBodyGyroJerkMag		-0.463187856659524	-0.464553224377857
test	WALKING_DOWNSTAIRS	tBodyGyroMag		-0.188907287860786	-0.308151790967905
test	WALKING_DOWNSTAIRS	tGravityAcc	X	0.931437114714286	-0.951956040880952
test	WALKING_DOWNSTAIRS	tGravityAcc	Y	-0.171822241287476	-0.933501819642857
test	WALKING_DOWNSTAIRS	tGravityAcc	Z	-0.038043391203381	-0.919091320238095
test	WALKING_DOWNSTAIRS	tGravityAccMag		0.0164621317664286	0.0504083176412857
test	WALKING_UPSTAIRS	fBodyAcc	X	-0.311470643287898	-0.265071335268684
test	WALKING_UPSTAIRS	fBodyAcc	Y	-0.163527702472505	-0.058797927424034
test	WALKING_UPSTAIRS	fBodyAcc	Z	-0.403859087158599	-0.239259921773609
test	WALKING_UPSTAIRS	fBodyAccJerk	X	-0.401066805742038	-0.400132176654225
test	WALKING_UPSTAIRS	fBodyAccJerk	Y	-0.38710223800034	-0.382397128219958
test	WALKING_UPSTAIRS	fBodyAccJerk	Z	-0.602911767919321	-0.672740221974522
test	WALKING_UPSTAIRS	fBodyAccMag		-0.292081504854565	-0.39041721744586
test	WALKING_UPSTAIRS	fBodyBodyAccJerkMag		-0.355087381332696	-0.421213315287049
test	WALKING_UPSTAIRS	fBodyBodyGyroJerkMag		-0.666239280021231	-0.706477443375796
test	WALKING_UPSTAIRS	fBodyBodyGyroMag		-0.495846446322718	-0.460677679282378
test	WALKING_UPSTAIRS	fBodyGyro	X	-0.408927905006157	-0.508328984061571
test	WALKING_UPSTAIRS	fBodyGyro	Y	-0.491062764201911	-0.352975477855626
test	WALKING_UPSTAIRS	fBodyGyro	Z	-0.295292222497452	-0.288298632743737
test	WALKING_UPSTAIRS	tBodyAcc	X	0.263126445989384	-0.276529588909979
test	WALKING_UPSTAIRS	tBodyAcc	Y	-0.0242744604190291	-0.0517638240820382
test	WALKING_UPSTAIRS	tBodyAcc	Z	-0.120798485155414	-0.255380107800849
test	WALKING_UPSTAIRS	tBodyAccJerk	X	0.0734505822969214	-0.372285856288747
test	WALKING_UPSTAIRS	tBodyAccJerk	Y	0.00490440295949045	-0.36356830989087
test	WALKING_UPSTAIRS	tBodyAccJerk	Z	-0.00709425056157112	-0.638159602229299
test	WALKING_UPSTAIRS	tBodyAccJerkMag		-0.412947118942675	-0.380950968793418
test	WALKING_UPSTAIRS	tBodyAccMag		-0.156596937200552	-0.282505793501648
test	WALKING_UPSTAIRS	tBodyGyro	X	-0.0252961131944798	-0.4816437891862
test	WALKING_UPSTAIRS	tBodyGyro	Y	-0.0693319879901062	-0.395856447426093
test	WALKING_UPSTAIRS	tBodyGyro	Z	0.0844374813053079	-0.234132446747091
test	WALKING_UPSTAIRS	tBodyGyroJerk	X	-0.104105469604607	-0.576962412908705
test	WALKING_UPSTAIRS	tBodyGyroJerk	Y	-0.0370180926612527	-0.681691906666667
test	WALKING_UPSTAIRS	tBodyGyroJerk	Z	-0.0539430325613588	-0.554141881365605
test	WALKING_UPSTAIRS	tBodyGyroJerkMag		-0.623815676008493	-0.67288561866242
test	WALKING_UPSTAIRS	tBodyGyroMag		-0.20735406242569	-0.41269395604845
test	WALKING_UPSTAIRS	tGravityAcc	X	0.880983929469214	-0.95239939104034
test	WALKING_UPSTAIRS	tGravityAcc	Y	-0.268759574031847	-0.925912647367304
test	WALKING_UPSTAIRS	tGravityAcc	Z	-0.123669693229008	-0.906976117919321
test	WALKING_UPSTAIRS	tGravityAccMag		-0.156596937200552	-0.282505793501648
train	STANDING	fBodyAcc	X	-0.982912890618632	-0.986574413391557
train	STANDING	fBodyAcc	Y	-0.946150893748181	-0.934624538980349
train	STANDING	fBodyAcc	Z	-0.959054674475983	-0.938062292598253
train	STANDING	fBodyAccJerk	X	-0.981626816149927	-0.983361688056769
train	STANDING	fBodyAccJerk	Y	-0.966931953151383	-0.968763727401747
train	STANDING	fBodyAccJerk	Z	-0.977422716790393	-0.982416433216885
train	STANDING	fBodyAccMag		-0.958227593384279	-0.951799775699709
train	STANDING	fBodyBodyAccJerkMag		-0.973202412219796	-0.972900383770015
train	STANDING	fBodyBodyGyroJerkMag		-0.97750742639738	-0.975822682598253
train	STANDING	fBodyBodyGyroMag		-0.952814999133916	-0.936800772816594
train	STANDING	fBodyGyro	X	-0.949080252780204	-0.952324284970888
train	STANDING	fBodyGyro	Y	-0.968026748042213	-0.962401947845706
train	STANDING	fBodyGyro	Z	-0.961498605240175	-0.96344778356623
train	STANDING	tBodyAcc	X	0.279293757074236	-0.985346233195051
train	STANDING	tBodyAcc	Y	-0.0161230846636681	-0.936013307409025
train	STANDING	tBodyAcc	Z	-0.10732962785709	-0.942359763042212
train	STANDING	tBodyAccJerk	X	0.07485715063377	-0.981622950225619
train	STANDING	tBodyAccJerk	Y	0.00877429407298399	-0.96660630371179
train	STANDING	tBodyAccJerk	Z	-0.00387217635462227	-0.980575465705968
train	STANDING	tBodyAccJerkMag		-0.978738869002911	-0.973516388609898
train	STANDING	tBodyAccMag		-0.95678885018195	-0.949050271871907
train	STANDING	tBodyGyro	X	-0.0263231980185808	-0.950981475866084
train	STANDING	tBodyGyro	Y	-0.0660746057299709	-0.96414183628821
train	STANDING	tBodyGyro	Z	0.0787782501328239	-0.960106905407569
train	STANDING	tBodyGyroJerk	X	-0.0994459157848617	-0.969492009825327
train	STANDING	tBodyGyroJerk	Y	-0.0424437794962882	-0.98204418555313
train	STANDING	tBodyGyroJerk	Z	-0.0518025512964192	-0.978999994272198
train	STANDING	tBodyGyroJerkMag		-0.980589908020378	-0.976113861921397
train	STANDING	tBodyGyroMag		-0.947207964796215	-0.935924401841339
train	STANDING	tGravityAcc	X	0.940855692081514	-0.988270207540029
train	STANDING	tGravityAcc	Y	-0.182159165492402	-0.970754316870451
train	STANDING	tGravityAcc	Z	-0.0273917941389855	-0.955334333173217
train	STANDING	tGravityAccMag		-0.95678885018195	-0.949050271871907
train	SITTING	fBodyAcc	X	-0.983235173297045	-0.983675290902022
train	SITTING	fBodyAcc	Y	-0.948783229545879	-0.933948759256143
train	SITTING	fBodyAcc	Z	-0.957480579844479	-0.934534156082426
train	SITTING	fBodyAccJerk	X	-0.985698027869362	-0.986724182511664
train	SITTING	fBodyAccJerk	Y	-0.974807063335925	-0.976387838265941
train	SITTING	fBodyAccJerk	Z	-0.979854031073095	-0.983830467869362
train	SITTING	fBodyAccMag		-0.952673262657854	-0.941966512135303
train	SITTING	fBodyBodyAccJerkMag		-0.979261088468118	-0.978627076430793
train	SITTING	fBodyBodyGyroJerkMag		-0.985679431041991	-0.984677767993779
train	SITTING	fBodyBodyGyroMag		-0.964102259572317	-0.951296691880249
train	SITTING	fBodyGyro	X	-0.977875242783826	-0.98248034318818
train	SITTING	fBodyGyro	Y	-0.972183939828927	-0.963557481329705
train	SITTING	fBodyGyro	Z	-0.961503434618974	-0.961967228561431
train	SITTING	tBodyAcc	X	0.273448998825428	-0.983449562153966
train	SITTING	tBodyAcc	Y	-0.0121426088459798	-0.936208179940381
train	SITTING	tBodyAcc	Z	-0.106580744993313	-0.939274193888803
train	SITTING	tBodyAccJerk	X	0.0757738529781182	-0.985544794618974
train	SITTING	tBodyAccJerk	Y	0.00497487103109658	-0.974649826034215
train	SITTING	tBodyAccJerk	Z	-0.00186788827412442	-0.982526224152411
train	SITTING	tBodyAccJerkMag		-0.982966618413686	-0.9794403344479
train	SITTING	tBodyAccMag		-0.955067543234837	-0.939365758525816
train	SITTING	tBodyGyro	X	-0.0378305948293904	-0.981262834082426
train	SITTING	tBodyGyro	Y	-0.0728027807545334	-0.966305793009331
train	SITTING	tBodyGyro	Z	0.0784742074521695	-0.958891866041991
train	SITTING	tBodyGyroJerk	X	-0.0959456649824261	-0.98658476348367
train	SITTING	tBodyGyroJerk	Y	-0.0405964730900187	-0.986654023623639
train	SITTING	tBodyGyroJerk	Z	-0.0513023722602862	-0.984164647052877
train	SITTING	tBodyGyroJerkMag		-0.988248275785381	-0.984886442970451
train	SITTING	tBodyGyroMag		-0.94742138466563	-0.950857575620529
train	SITTING	tGravityAcc	X	0.870899899300156	-0.979064977083981
train	SITTING	tGravityAcc	Y	0.122785136286184	-0.957651371119751
train	SITTING	tGravityAcc	Z	0.162123894662294	-0.947177473594868
train	SITTING	tGravityAccMag		-0.955067543234837	-0.939365758525816
train	LAYING	fBodyAcc	X	-0.96623357050462	-0.957307907502701
train	LAYING	fBodyAcc	Y	-0.948790913989339	-0.936034910177683
train	LAYING	fBodyAcc	Z	-0.956210691862118	-0.938502036889055
train	LAYING	fBodyAccJerk	X	-0.980189178550107	-0.98256876949538
train	LAYING	fBodyAccJerk	Y	-0.97089486137882	-0.972728982835821
train	LAYING	fBodyAccJerk	Z	-0.97631433684435	-0.981007056687989
train	LAYING	fBodyAccMag		-0.943950932251599	-0.927962071920256
train	LAYING	fBodyBodyAccJerkMag		-0.9741812297086	-0.97302950880597
train	LAYING	fBodyBodyGyroJerkMag		-0.978582414975124	-0.977124064577114
train	LAYING	fBodyBodyGyroMag		-0.953724931549396	-0.939025835269367
train	LAYING	fBodyGyro	X	-0.960446780433049	-0.967206952885572
train	LAYING	fBodyGyro	Y	-0.968139785280739	-0.961463062750533
train	LAYING	fBodyGyro	Z	-0.962619007583511	-0.964692895927505
train	LAYING	tBodyAcc	X	0.26919100708877	-0.959475238302061
train	LAYING	tBodyAcc	Y	-0.0183452479771855	-0.937608935448472
train	LAYING	tBodyAcc	Z	-0.107168709636461	-0.941635287283866
train	LAYING	tBodyAccJerk	X	0.0815722575616205	-0.980429538464819
train	LAYING	tBodyAccJerk	Y	0.0113483623410661	-0.970716016723525
train	LAYING	tBodyAccJerk	Z	-0.00532249999608209	-0.979334766545842
train	LAYING	tBodyAccJerkMag		-0.979067883653163	-0.974099433837953
train	LAYING	tBodyAccMag		-0.933298701817342	-0.925425270312722
train	LAYING	tBodyGyro	X	-0.0167611908027991	-0.965341869218906
train	LAYING	tBodyGyro	Y	-0.091660815198081	-0.963438605707178
train	LAYING	tBodyGyro	Z	0.127147917707889	-0.961435198422175
train	LAYING	tBodyGyroJerk	X	-0.102019624959062	-0.975493723411514
train	LAYING	tBodyGyroJerk	Y	-0.0382683832088763	-0.981437634278607
train	LAYING	tBodyGyroJerk	Z	-0.0639964642257285	-0.984583429004975
train	LAYING	tBodyGyroJerkMag		-0.983166670739161	-0.977324912189055
train	LAYING	tBodyGyroMag		-0.935764661371713	-0.937939730744847
train	LAYING	tGravityAcc	X	-0.370854938686567	-0.941599380704335
train	LAYING	tGravityAcc	Y	0.632926187069652	-0.957061403069012
train	LAYING	tGravityAcc	Z	0.57557155056091	-0.943600986262971
train	LAYING	tGravityAccMag		-0.933298701817342	-0.925425270312722
train	WALKING	fBodyAcc	X	-0.299246289954772	-0.319449560903263
train	WALKING	fBodyAcc	Y	-0.0400579863409135	-0.0733724623492251
train	WALKING	fBodyAcc	Z	-0.320268879986729	-0.267572362684095
train	WALKING	fBodyAccJerk	X	-0.321121167768654	-0.306296265538255
train	WALKING	fBodyAccJerk	Y	-0.173139305678834	-0.0916769810447162
train	WALKING	fBodyAccJerk	Z	-0.434049963153246	-0.488938910530661
train	WALKING	fBodyAccMag		-0.274583992340065	-0.469706683062806
train	WALKING	fBodyBodyAccJerkMag		-0.220474636401958	-0.229687911080799
train	WALKING	fBodyBodyGyroJerkMag		-0.507109768565555	-0.501290499908646
train	WALKING	fBodyBodyGyroMag		-0.393456402177055	-0.451461098451794
train	WALKING	fBodyGyro	X	-0.342625352351713	-0.501130832201272
train	WALKING	fBodyGyro	Y	-0.373186450008817	-0.305965827883026
train	WALKING	fBodyGyro	Z	-0.299156019251648	-0.392421798877651
train	WALKING	tBodyAcc	X	0.276260200872757	-0.312641276860938
train	WALKING	tBodyAcc	Y	-0.0177677108511182	-0.0202716892534421
train	WALKING	tBodyAcc	Z	-0.108884089505465	-0.246279194916452
train	WALKING	tBodyAccJerk	X	0.0781529317778793	-0.282116881167088
train	WALKING	tBodyAccJerk	Y	0.0121226741316897	-0.104970427937531
train	WALKING	tBodyAccJerk	Z	-0.00375555256860604	-0.461915637480408
train	WALKING	tBodyAccJerkMag		-0.243182988691175	-0.22122673901031
train	WALKING	tBodyAccMag		-0.16078708767832	-0.33054317771252
train	WALKING	tBodyGyro	X	-0.0312533147691762	-0.461290098708157
train	WALKING	tBodyGyro	Y	-0.0713125942324959	-0.325584920802455
train	WALKING	tBodyGyro	Z	0.0841943988581277	-0.32080957637553
train	WALKING	tBodyGyroJerk	X	-0.0968968860162643	-0.361232566109217
train	WALKING	tBodyGyroJerk	Y	-0.0443103427345922	-0.502931986096003
train	WALKING	tBodyGyroJerk	Z	-0.0524042952439478	-0.440865118262072
train	WALKING	tBodyGyroJerkMag		-0.450009825369331	-0.487888281890326
train	WALKING	tBodyGyroMag		-0.257203964799315	-0.36096832426354
train	WALKING	tGravityAcc	X	0.933317070057096	-0.977509136933116
train	WALKING	tGravityAcc	Y	-0.199518178897227	-0.966631852120718
train	WALKING	tGravityAcc	Z	-0.0649048773550457	-0.952444776696574
train	WALKING	tGravityAccMag		-0.16078708767832	-0.33054317771252
train	WALKING_DOWNSTAIRS	fBodyAcc	X	0.0713559405859939	0.161841907222363
train	WALKING_DOWNSTAIRS	fBodyAcc	Y	0.0737650952372211	0.0116440806198682
train	WALKING_DOWNSTAIRS	fBodyAcc	Z	-0.192976080589219	-0.224422769657505
train	WALKING_DOWNSTAIRS	fBodyAccJerk	X	-0.0476361590971602	-0.0578981617975233
train	WALKING_DOWNSTAIRS	fBodyAccJerk	Y	-0.105878566493306	-0.0790313050466197
train	WALKING_DOWNSTAIRS	fBodyAccJerk	Z	-0.314602839812373	-0.432035778998519
train	WALKING_DOWNSTAIRS	fBodyAccMag		0.171065464344219	-0.0519754917174949
train	WALKING_DOWNSTAIRS	fBodyBodyAccJerkMag		0.027554426056359	-0.0387999123583974
train	WALKING_DOWNSTAIRS	fBodyBodyGyroJerkMag		-0.423414186458479	-0.483144255183296
train	WALKING_DOWNSTAIRS	fBodyBodyGyroMag		-0.266010319105811	-0.341661716555527
train	WALKING_DOWNSTAIRS	fBodyGyro	X	-0.201783634086511	-0.358229126788915
train	WALKING_DOWNSTAIRS	fBodyGyro	Y	-0.28679197429716	-0.32730982482787
train	WALKING_DOWNSTAIRS	fBodyGyro	Z	-0.152922530932252	-0.370165715908925
train	WALKING_DOWNSTAIRS	tBodyAcc	X	0.288168888475659	0.139846824303926
train	WALKING_DOWNSTAIRS	tBodyAcc	Y	-0.0163701864217556	0.079183931731927
train	WALKING_DOWNSTAIRS	tBodyAcc	Z	-0.105860325152107	-0.168367906550132
train	WALKING_DOWNSTAIRS	tBodyAccJerk	X	0.0882069647409736	-0.0081975248379716
train	WALKING_DOWNSTAIRS	tBodyAccJerk	Y	0.00243695730748479	-0.0618724537659239
train	WALKING_DOWNSTAIRS	tBodyAccJerk	Z	-0.00887530540913793	-0.373529594680882
train	WALKING_DOWNSTAIRS	tBodyAccJerkMag		-0.0896983345591278	0.00319743123002028
train	WALKING_DOWNSTAIRS	tBodyAccMag		0.137366108163682	0.144636835872059
train	WALKING_DOWNSTAIRS	tBodyGyro	X	-0.0766623641270639	-0.316944038169878
train	WALKING_DOWNSTAIRS	tBodyGyro	Y	-0.0559099218163377	-0.306181913257404
train	WALKING_DOWNSTAIRS	tBodyGyro	Z	0.0939252913958722	-0.26144603615071
